1;My Book;1;1;8.500000;do przeczytania;
2;Prowadz swoj plug przez kosci umarlych;3;8;8.200000;przeczytane;Powiesc z watkiem kryminalnym i mocnym klimatem.
3;Wiedzmin Ostatnie zyczenie;4;2;9.000000;przeczytane;Zbior opowiadan fantasy.
4;Solaris;5;3;9.300000;przeczytane;Klasyka polskiej fantastyki naukowej.
5;Rok 1984;6;1;9.100000;przeczytane;Dystopia o kontroli i wolnosci.
6;Morderstwo w Orient Expressie;7;4;8.400000;przeczytane;Klasyczny kryminal z Herkulesem Poirot.
7;Lsnienie;8;1;8.000000;w trakcie;Horror psychologiczny.
8;Harry Potter i Kamien Filozoficzny;9;2;8.700000;przeczytane;Pierwszy tom serii.
9;Sapiens;10;9;8.600000;w trakcie;Historia czlowieka w przystepnej formie.
10;Steve Jobs;11;6;7.900000;do przeczytania;Biografia zalozyciela Apple.
11;Clean Code;12;7;9.200000;w trakcie;Dobre praktyki pisania czytelnego kodu.
12;Python Crash Course;13;7;8.100000;do przeczytania;Praktyczne wprowadzenie do programowania.
13;Odwaga w przywodztwie;14;10;7.600000;do przeczytania;Ksiazka o pracy z ludzmi i odpowiedzialnosci.
14;Duma i uprzedzenie;15;8;8.300000;przeczytane;Klasyczna powiesc obyczajowa.
15;Hobbit;16;2;8.900000;przeczytane;Przygoda w swiecie Srodziemia.
16;Diuna;17;3;9.000000;w trakcie;Polityka, ekologia i wielkie rody.
17;Kasacja;18;4;7.800000;przeczytane;Kryminal prawniczy.
18;Bieguni;3;8;8.000000;do przeczytania;Powiesc o podrozach i tozsamosci.
19;Krew elfow;4;2;8.500000;w trakcie;Kontynuacja sagi o Wiedzminie.
20;Cyberiada;5;3;8.800000;do przeczytania;Humorystyczne opowiadania science fiction.
21;Folwark zwierzecy;6;1;8.700000;przeczytane;Krotka satyra polityczna.
22;I nie bylo juz nikogo;7;4;8.900000;do przeczytania;Jedna z najbardziej znanych powiesci Christie.
23;To;8;1;7.700000;do przeczytania;Obszerna powiesc grozy.
24;Harry Potter i Komnata Tajemnic;9;2;8.200000;w trakcie;Drugi tom serii.
25;Homo Deus;10;9;8.000000;do przeczytania;Rozwazania o przyszlosci ludzkosci.
26;Elon Musk;11;6;7.500000;przeczytane;Biografia przedsiebiorcy technologicznego.
27;Clean Architecture;12;7;8.700000;do przeczytania;Projektowanie wiekszych systemow.
28;Automate the Boring Stuff with Python;13;7;8.400000;przeczytane;Praktyczne skrypty do automatyzacji.
29;Wielka magia;14;10;7.300000;w trakcie;O kreatywnosci i pracy tworczej.
30;Wladca Pierscieni Druzyna Pierscienia;16;2;9.400000;do przeczytania;Pierwsza czesc trylogii fantasy.
